id,name,title,_source_team_ids
c3f5266c-e9da-446b-b8fc-87e81421892f,Spencer Rivers,Assistant Coach/Player Development,17
722bbca2-cd5a-43c7-bf9a-0a0f636277c0,Greg Buckner,Associate Head Coach,17
7513349f-6f45-48de-87be-972c6428cabf,Darvin Ham,Assistant Coach,17
4dba68aa-5346-45e5-9dbb-301d0ffe4022,Dave Joerger,Assistant Coach,17
8b231572-7b6b-4fc9-8106-2400b758f4e1,Rex Kalamian,Assistant Coach,17
0e00dbb2-a956-44d0-a02d-bbafc11a2d8b,Vin Baker,Assistant Coach,17
4c6f66ec-9612-4f19-b747-b85b55b25079,Pete Dominguez,Assistant Coach,17
efbda126-e940-4fbe-98f3-83e78b422e8f,Doc Rivers,Head Coach,17
63a95f47-0ea7-4fbe-ad33-18573b32129a,Jon Horst,Executive,17
b8dbd161-a4b8-49e5-9a65-f1d502f5493b,Gregg Farnam,Trainer,18
a63f94ab-5ef7-4227-bb96-5f8ca4ff08e0,Joe Boylan,Assistant Coach,18
17a26624-36b1-4711-b7ac-24fea7c80033,Corliss Williamson,Assistant Coach,18
d688008b-a816-499b-9504-d2c071b0e5e6,Jeff Newton,Assistant Coach/Director of Player Development,18
bef5e796-849e-4e2e-ac1d-26c08b6121b8,Elston Turner,Assistant Coach,18
bf52947c-75f5-4b88-b2b1-29d437ffdc10,Micah Nori,Assistant Coach,18
0d0b5fe7-b6eb-4ee9-9fae-233f523d1e8a,Pablo Prigioni,Assistant Coach,18
18c4d542-3a1d-4200-af87-e10ccb4fc5b0,Kevin Hanson,Assistant Coach,18
73a9c54d-2825-4895-978e-ff21067f08e4,Max Lefevre,Assistant Coach,18
b20330a4-1e87-4c43-b936-475dbfa20973,Chris Hines,Assistant Coach,18
54cc905f-82a9-4d3b-b490-d18add6e64bf,Chris Finch,Head Coach,18
