id,baseSalary,capHit,capPct,name,payrollType,player,playerId,position,_source_team_ids
c8b7df41-0788-43dc-ac46-fe1f6e254f23,0,5066667,,Nicolo Melli,capHold,1629740,1629740,"PF, C",7
33d2ea1c-7871-4eb1-86a6-774474958f84,3182280,3182280,,Sergio De Larrea,activeRoster,1643547,1643547,PG,7
5a5a3068-32fa-4862-8fc2-3acce8902855,3000000,3000000,,Tarik Biberovic,activeRoster,1641844,1641844,SF,7
cdedb0cd-c87c-401e-babb-70ba5f2c8e08,0,2449421,,Kai Jones,capHold,1630539,1630539,C,7
f45ec2e0-1f54-4ba4-8bb0-486e9c886642,0,2449421,,Theo Pinson,capHold,1629033,1629033,"SG, SF",7
a2286857-20ad-4b8f-af76-69e0feec3752,0,2449421,,Brandon Williams,capHold,1630314,1630314,PG,7
63a7f209-0617-47a4-82ce-3fa33660b5cf,0,2208856,,JaVale McGee,deadCap,201580,201580,C,7
f5c12722-35ed-4541-8fb8-c7079ea75e5a,2185116,2185116,,Moussa Cisse,capHold,1630619,1630619,C,7
5b55a442-8a6d-460b-807c-87773fafc2bd,2185116,2185116,,Ryan Nembhard,capHold,1642948,1642948,PG,7
74a37537-5030-409c-9f99-8f540f5d6bfb,0,2185116,,McKinley Wright IV,capHold,1630593,1630593,PG,7
8d0ddbe8-2403-45e2-9ca0-8a24a3708938,0,2185116,,Moses Wright,capHold,1630589,1630589,PF,7
bfc7e432-79b0-4447-ab9f-5a35b0a11d83,0,2185116,,Greg Brown III,capHold,1630535,1630535,"PF, SF",7
8a2e56a1-821b-4202-b159-2dfdf7474489,0,1002360,,Olivier-Maxence Prosper,deadCap,1641765,1641765,PF,7
1b2f4ab4-f0ad-44f4-9a64-7640e36814ce,0,0,,Tyler Smith,twoWay,1641890,1641890,PF,7
34069563-9bfa-4a6e-9450-0f4149a1de4b,59033114,59033114,,Nikola Jokić,activeRoster,203999,203999,C,8
51dbc62a-30db-4f24-8297-bf796e3e5b2b,50105628,50105628,,Jamal Murray,activeRoster,1627750,1627750,"PG, SG",8
b127b844-9746-4cda-884f-fa939db294d4,31978037,31978037,,Aaron Gordon,activeRoster,203932,203932,"PF, SF",8
97a455d6-3c5b-44e4-9ac3-77bedbcf0326,22500000,23062500,,Cameron Johnson,activeRoster,1629661,1629661,"PF, SF",8
b3ac8620-7310-49a7-b028-a8eeb0436818,21551726,21551726,,Christian Braun,activeRoster,1631128,1631128,SG,8
ef850e28-6283-48ab-9f61-671dafe0248b,6534714,13069428,,Peyton Watson,capHold,1631212,1631212,"SF, SG",8
c32d5745-6135-4ed6-b71f-57e6d5d9dea1,7466667,7466667,,Zeke Nnaji,activeRoster,1630192,1630192,PF,8
ed8d5cec-9c41-44cd-9778-095edfe90fbb,4826931,4826931,,Julian Strawther,activeRoster,1631124,1631124,"SG, SF",8
387f1e99-5c76-454a-be21-4755d5c85333,3506659,3506659,,Marvin Bagley III,activeRoster,1628963,1628963,"PF, C",8
d548c8dd-5f70-47ab-95f2-e0dcb7673df2,3372120,3372120,,DaRon Holmes II,activeRoster,1641747,1641747,PF,8
9199650e-f5bb-4e27-959d-2b09ee67586d,2650000,2650000,,Spencer Jones,capHold,1642461,1642461,SF,8
5dea52df-2bb9-46de-bbf3-d1491b583321,0,2449421,,Justin Holiday,capHold,203200,203200,"SG, SF",8
63b3dc47-45ca-43c8-bf3c-8070a12a4bb9,0,2449421,,Richard Jefferson,capHold,2210,2210,SF,8
0ad78edf-1409-4f2a-a840-eedcd2b20ee2,0,2449421,,Bruce Brown Jr.,capHold,1628971,1628971,"PG, SF, SG",8
5dbc7233-3443-4a15-9c5d-71bbabc7001e,0,2449421,,Jalen Pickett,capHold,1629618,1629618,SG,8
a7bf5873-0113-458e-81f6-5fcbaa89bc07,0,2449421,,DeMarcus Cousins,capHold,202326,202326,C,8
27e49bcd-21b2-4096-a98f-6f135a4eca48,0,2449421,,Vlatko Cancar,capHold,1628427,1628427,PF,8
d5a8dcc4-7cb1-4584-835c-243ff98b9c2f,0,2449421,,Troy Daniels,capHold,203584,203584,SG,8
dafd1c81-18cd-4ffa-9e1c-41da7ffafff2,3876529,2449421,,Tyus Jones,activeRoster,1626145,1626145,PG,8
166537f2-0ca8-4729-bc5b-9db27a0126e0,0,2449421,,Russell Westbrook,capHold,201566,201566,"PG, SF",8
1909a7b4-9ea6-4fc2-bef7-bcc1e3b8195a,0,2185116,,Markus Howard,capHold,1630210,1630210,SG,8
3f47cfe1-9df5-4ab1-b021-308772b65a00,0,2185116,,Curtis Jones,capHold,1642938,1642938,SG,8
3f3d2cac-7d40-49f5-bb92-d48099890c88,2185116,2185116,,David Roddy,capHold,1631223,1631223,PF,8
ef36d8b3-101b-4f75-8072-df76eae6a6de,0,2000000,,Jonas ValanÄiÅ«nas,deadCap,202685,202685,C,8
d2832d88-e9b5-4a22-86b3-f3b5df9e26ac,1357763,1357763,,Alpha Diallo,activeRoster,26864,26864,,8
12a676d5-ce59-4e85-872c-b54e7cd973a2,0,0,,KJ Simpson,twoWay,1642354,1642354,PG,8
c5fc5325-2abd-4aba-b995-c30bb9a4d2d5,50105628,50105628,,Cade Cunningham,activeRoster,1630595,1630595,"PG, SG",9
